EventTypeID	Event Name
597	Second half started
598	Match started
599	Match finished
601	Congratulations to the winner
602	Winner advances to next cup round (no relegation cup for loser)
603	Winner advances to next cup round and loser relegates to cup X
604	Match ended in a tie
605	End of match, congratulations team won the league
606	End of match, sad that team will demote directly
650	Hattrick Anniversary
651	Team Anniversary
700	Event-o-Matic: Manager taunts opponent
701	Event-o-Matic: Manager praises opponent
702	Event-o-Matic: Manager asks fans for support
703	Event-o-Matic: Manager expects great show
704	Event-o-Matic: Manager honours Club legacy
800	Star player missed match because of red card
801	Star player missed match because of injury
802	Team is on winning streak
803	Both teams are on winning streak
804	Team will break winning streak
805	Weakest team (HTRating) is winning
806	Possession shift because of red card
807	Possession shift because of substitution (lost)
808	Possession shift because of substitution (gained)
809	Possession shift (other reason)
810	Previous match winner
811	Previous match was a tie
812	Player birthday
813	New match kit
814	Team underperforming compared to last league match (HT Rating)
815	Team overperforming compared to last league match (HT Rating)
816	Possession shift because of team confusion
817	Possession shift because of team nerves
818	Brothers play for same team
819	Father/son play for same team
820	Family members play against each other
821	Family members assist + goal
822	Family members facing each other in a penalty
880	Assist end to a goal
